run_id,period_no,rebalance_date,start_date,end_date,period_days,num_funds,gross_return,gross_cagr,net_return,net_cagr,fee_return,benchmark_return,benchmark_cagr,alpha_return,alpha_cagr,net_alpha_return,net_alpha_cagr
mf-10y-annual-top30-net1%,1,2014-01-01,2014-01-01,2015-01-01,365,30,0.49986249884029604,0.499862498840296,0.4848638738518931,0.4848638738518931,-0.010000000000000009,0.37893827787655576,0.37893827787655576,0.12092422096374028,0.12092422096374023,0.10592559597533735,0.10592559597533735
mf-10y-annual-top30-net1%,2,2015-01-01,2015-01-01,2016-01-01,365,30,0.07044514571487248,0.07044514571487248,0.05974069425772366,0.05974069425772366,-0.010000000000000009,-0.004781833453677442,-0.004781833453677442,0.07522697916854992,0.07522697916854992,0.0645225277114011,0.0645225277114011
mf-10y-annual-top30-net1%,3,2016-01-01,2016-01-01,2017-01-01,366,30,0.035490007368427175,0.03539134415396239,0.025106880417268718,0.025037430712422815,-0.010027259439756353,0.033929800922464226,0.03383554561601221,0.0015602064459629486,0.0015557985379501815,-0.008822920505195508,-0.008798114903589394
mf-10y-annual-top30-net1%,4,2017-01-01,2017-01-01,2018-01-01,365,30,0.3818025955064803,0.3818025955064803,0.36798456955141545,0.36798456955141545,-0.010000000000000009,0.3473045340949661,0.3473045340949661,0.034498061411514236,0.034498061411514236,0.020680035456449364,0.020680035456449364
mf-10y-annual-top30-net1%,5,2018-01-01,2018-01-01,2019-01-01,365,30,-0.09145542441312306,-0.09145542441312304,-0.10054087016899182,-0.10054087016899182,-0.010000000000000009,-0.025078170544278966,-0.025078170544278966,-0.06637725386884409,-0.06637725386884408,-0.07546269962471286,-0.07546269962471286
mf-10y-annual-top30-net1%,6,2019-01-01,2019-01-01,2020-01-01,365,30,0.09790733729019675,0.09790733729019685,0.0869282639172948,0.0869282639172948,-0.010000000000000009,0.07508779177855818,0.07508779177855818,0.022819545511638575,0.022819545511638673,0.011840472138736624,0.011840472138736624
mf-10y-annual-top30-net1%,7,2020-01-01,2020-01-01,2021-01-01,366,30,0.19571547131123673,0.19513165804770627,0.18372572206426852,0.18318034146722906,-0.010027259439756353,0.17053056312603987,0.17002709665095628,0.025184908185196864,0.02510456139674999,0.013195158938228646,0.01315324481627278
mf-10y-annual-top30-net1%,8,2021-01-01,2021-01-01,2022-01-01,365,30,0.4424995668289253,0.44249956682892533,0.42807457116063596,0.42807457116063596,-0.010000000000000009,0.2955848239933996,0.2955848239933996,0.1469147428355257,0.14691474283552575,0.13248974716723638,0.13248974716723638
mf-10y-annual-top30-net1%,9,2022-01-01,2022-01-01,2023-01-01,365,30,0.03349679817766271,0.0334967981776626,0.023161830195886024,0.023161830195886024,-0.010000000000000009,0.01606421740788977,0.01606421740788977,0.017432580769772943,0.017432580769772832,0.007097612787996255,0.007097612787996255
mf-10y-annual-top30-net1%,10,2023-01-01,2023-01-01,2024-01-01,365,30,0.35142324338209896,0.35142324338209896,0.33790901094827785,0.33790901094827785,-0.010000000000000009,0.25418313347698507,0.25418313347698507,0.09724010990511389,0.09724010990511389,0.08372587747129279,0.08372587747129279
